"Source:","/mnt/b955457f-512b-4f44-a0f7-8e5f2b78aba2/double-dip-main/tht-dip.kicad_sch"
"Date:","ma. 13. mars 2023 kl. 14.35 +0100"
"Tool:","Eeschema 7.0.0-da2b9df05c~171~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","37"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","3","C1, C7, C9","47uF","Device:C","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","","",""
"2","1","C2","0.1uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","","",""
"3","4","C3, C5, C6, C8","10uF","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~","","","",""
"4","1","C4","33uF","tht-dip-rescue:CP-Device","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","","","",""
"5","1","D1","1N5241B-TR","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~","","","",""
"6","4","D2, D3, D4, D5","1N4148","Device:D","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~","","","D","1=K 2=A"
"7","10","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10","Conn_01x01_Female","tht-dip-rescue:Conn_01x01_Female-Connector","MountingHole:MountingHole_2.2mm_M2_ISO7380_Pad","","","","",""
"8","3","R1, R9, R11","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","",""
"9","2","R2, R10","56K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","",""
"10","2","R3, R4","1M","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","",""
"11","2","R5, R6","4.7K","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","",""
"12","2","R7, R8","470","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~","","","",""
"13","1","RV1","51ABD-B28-B15/B15L","Device:R_Potentiometer_Dual","potmeter:51ABD-B28-B15/B15L","~","","","",""
"14","1","U1","TL082BCP ","Amplifier_Operational:TL082","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/tl081.pdf","","","",""
